time	EC	Fraction_Inactive_Channels	Rho	Y	Z
0.0.	0.0	0.0	0.0	0.36	0.0
0.0.12.0	-0.178298428638301	-0.44954522210781606	0.44954522210781606	0.47395408369829506	0.064344344940006
0.0.24.0	-0.33719122253989403	-0.692094862776756	0.692094862776756	0.6263049419875031	0.070886280552391
0.0.36.0	-0.48764841390336205	-0.8199119528754991	0.8199119528754991	0.768938756427271	0.078709657476091
0.0.48.0	-0.6265762908893681	-0.880830843178371	0.880830843178371	0.8952748306564831	0.091301460232884
0.0.6.0	-0.670042243541441	-0.07439262780257101	0.07439262780257101	0.6122733508738031	0.41776889266763906
0.0.72.0	-0.61958982487831	-0.29882029308961905	0.29882029308961905	0.8046304394318	0.17495938544651002
0.0.84.0	-0.556984430646784	-0.14106726145694	0.14106726145694	0.662201799464887	0.25478263118189703
0.0.96.0	-0.514644332650806	-0.20772440613349702	0.20772440613349702	0.6004466548011981	0.274197677849609
1.0.08.0	-0.45251411550825005	-0.22689387187150703	0.22689387187150703	0.578362028369868	0.234152087138381
1.0.2.0	-0.39238381013606505	-0.202965392271335	0.202965392271335	0.509921384185413	0.242462425950652
1.0.3199999999999998.0	-0.345556045974167	-0.224391981797704	0.224391981797704	0.45775748643045505	0.24779855954371102
1.0.44.0	-0.300125998793464	-0.24891720054899502	0.24891720054899502	0.43092598815555005	0.229200010637914
1.0.56.0	-0.257805420640062	-0.243997873238768	0.243997873238768	0.38535678051509503	0.23244864012496602
1.0.68.0	-0.22956052154642	-0.283328062392849	0.283328062392849	0.363485385643709	0.22607513590271003
1.0.7999999999999998.0	-0.19741266674385802	-0.283827856890825	0.283827856890825	0.34364500790420505	0.213767658839652
1.0.92.0	-0.18470920311906902	-0.3185198690539	0.3185198690539	0.317374229696438	0.22733497342263
2.0.04.0	-0.161141138515866	-0.32433602399412303	0.32433602399412303	0.33282543815193805	0.188315700363927
2.0.16.0	-0.23131209507161102	-0.5497784243610561	0.5497784243610561	0.504146864661148	0.08716523041046201
2.0.28.0	-0.381913395317556	-0.743878023928321	0.743878023928321	0.668518596194403	0.073394799123152
2.0.4.0	-0.5292765213617581	-0.8461128897190141	0.8461128897190141	0.8076070014839181	0.081669519877839
2.0.52.0	-0.662910946409983	-0.8897465119152611	0.8897465119152611	0.923929681249378	0.098981265160603
2.0.6399999999999997.0	-0.620005754496148	-0.09209446168045601	0.09209446168045601	0.715370503757487	0.264635250738661
2.0.76.0	-0.62445993731825	-0.35271136177101303	0.35271136177101303	0.781447458392986	0.20301247892526403
2.0.88.0	-0.543480417450071	-0.19816075995087	0.19816075995087	0.683030937728159	0.220449479721913
3.0.	-0.487384283952134	-0.168588462757496	0.168588462757496	0.580659286950802	0.266724997001331
3.0.12.0	-0.43706707610459106	-0.22563191852736503	0.22563191852736503	0.546747728652485	0.25031934745210604
3.0.2399999999999998.0	-0.37837978246797904	-0.222896739549821	0.222896739549821	0.504516446218793	0.233863336249188
3.0.36.0	-0.328376201177701	-0.21811025585748703	0.21811025585748703	0.44444345155706805	0.24393274962063402
3.0.48.0	-0.28857716902484204	-0.25401598961966204	0.25401598961966204	0.41463004769509104	0.233947121329752
3.0.5999999999999996.0	-0.24736042041935702	-0.257148161636908	0.257148161636908	0.383543313845332	0.223817106574026
3.0.7199999999999998.0	-0.21883663464451503	-0.274152188525486	0.274152188525486	0.34662900970709404	0.23220762493742203
3.0.84.0	-0.193828389178743	-0.308399779783931	0.308399779783931	0.348575959999932	0.205252429178812
3.0.96.0	-0.17320951964855602	-0.285560057674341	0.285560057674341	0.298006703511535	0.235202816137022
4.0.08.0	-0.16917975066277202	-0.37829529168047404	0.37829529168047404	0.36524043878406204	0.16393931187871003
4.0.2.0	-0.27655591641362504	-0.621679225179768	0.621679225179768	0.562944473739046	0.073611442674581
4.0.32.0	-0.42896230166250804	-0.783042644043015	0.783042644043015	0.7134288890757341	0.07553341258677501
4.0.4399999999999995.0	-0.5729822286298291	-0.865001692571661	0.865001692571661	0.8477258271537941	0.08525640147603601
4.0.56.0	-0.69785018317652	-0.8880441129118881	0.8880441129118871	0.9385055873815331	0.119344595794989
4.0.68.0	-0.610332021570941	-0.18657977921725102	0.18657977921725002	0.7713099990812791	0.19902202248966303
4.0.8.0	-0.600003043300503	-0.19473944111094701	0.19473944111094701	0.640016423138771	0.319986620161734
4.0.92.0	-0.5368216643136391	-0.247235916956374	0.247235916956374	0.6737468823989471	0.22307478191469401
5.0.04.0	-0.467775187477789	-0.18867871579116502	0.18867871579116502	0.587478474115105	0.24029671336268701
5.0.16.0	-0.41597085386959004	-0.20035852150384	0.20035852150384	0.5172952936470361	0.258675560222556
5.0.279999999999999.0	-0.36551854513463	-0.235802812767294	0.235802812767294	0.488045019065769	0.23747352606886402
5.0.3999999999999995.0	-0.313911708331712	-0.228368521211838	0.228368521211839	0.44000186110778905	0.23390984722392602
5.0.52.0	-0.274774730381434	-0.24608936398316603	0.24608936398316703	0.395716636419477	0.23905809396196
5.0.64.0	-0.23955879716196601	-0.275421984965983	0.275421984965983	0.380052799727478	0.219505997434491
5.0.76.0	-0.207136462896218	-0.266549991316324	0.266549991316324	0.33862292173302205	0.22851354116319902
5.0.88.0	-0.192136137939623	-0.330364104767548	0.330364104767548	0.34596039998896705	0.20617573795065902
6.0.	-0.162545241218573	-0.278368547969329	0.278368547969329	0.303644516552924	0.21890072466565103
6.0.12.0	-0.18856353550849603	-0.45029822944296005	0.45029822944296005	0.41846325515645505	0.13010028035204402
6.0.24.0	-0.32402586598418903	-0.68291571853193	0.68291571853193	0.6122218230198321	0.07180404296436001
6.0.359999999999999.0	-0.474754896713494	-0.8151599895108721	0.8151599895108721	0.7566950157224931	0.078059880991002
6.0.4799999999999995.0	-0.614805729398618	-0.879226220348964	0.879226220348964	0.8849405293292351	0.089865200069386
6.0.6.0	-0.690209676715778	-0.27467191893853504	0.27467191893853504	0.61569161391476	0.434518062801019
6.0.72.0	-0.6158859897909731	-0.278631283772791	0.278631283772791	0.8001287087820561	0.17575728100891902
6.0.84.0	-0.562136199688924	-0.129608571837407	0.129608571837407	0.6513732137389481	0.270762985949978
6.0.96.0	-0.5209603134237091	-0.22745588867929903	0.22745588867929903	0.6154675303671361	0.26549278305657503
7.0.08.0	-0.45505280177793306	-0.221409952450788	0.221409952450788	0.5830821928394101	0.23197060893852603
7.0.199999999999999.0	-0.39612090047324905	-0.19863780043343202	0.19863780043343202	0.509726985363666	0.24639391510958503
7.0.319999999999999.0	-0.34976458855150605	-0.22843759731253402	0.22843759731253402	0.46304409274123104	0.24672049581027702
7.0.4399999999999995.0	-0.30250362071693404	-0.24548983552886602	0.24548983552886602	0.433697417871208	0.22880620284572803
7.0.56.0	-0.260731064722592	-0.242334925414906	0.242334925414906	0.385819735890289	0.234911328832306
7.0.68.0	-0.231789017624933	-0.284523334990098	0.284523334990099	0.368156985169007	0.22363203245592803
7.0.8.0	-0.198587332802887	-0.277713689087696	0.277713689087696	0.34163553532266705	0.21695179748022203
7.0.92.0	-0.18737560317881602	-0.327649494798444	0.327649494798444	0.32570963633626504	0.22166596684255302
8.0.04.0	-0.15997232122896202	-0.310285497813285	0.310285497813285	0.32524822721659	0.194724094012374
8.0.16.0	-0.22198969082735	-0.53104254008927	0.53104254008927	0.48986087078530205	0.09212882004205
8.0.28.0	-0.371539718421448	-0.733429104210722	0.733429104210722	0.6585746579943581	0.07296506042709301
8.0.4.0	-0.519588005447568	-0.8408942410935271	0.8408942410935271	0.7986309183648971	0.080957087082673
8.0.52.0	-0.6545984943699661	-0.8883956698491011	0.8883956698491011	0.9178221040105271	0.09677639035944001
8.0.64.0	-0.626617106914904	-0.07425795627945	0.07425795627945	0.695948778947404	0.290668327967502
8.0.76.0	-0.624195127549637	-0.346757890618056	0.346757890618057	0.795459709398436	0.188735418151202
8.0.879999999999999.0	-0.545481043446098	-0.184211670959744	0.184211670959744	0.680137872876381	0.22534317056972
9.0.	-0.49321764391152806	-0.17134599649099003	0.17134599649099003	0.580908201868748	0.272309442042783
9.0.12.0	-0.441111633699846	-0.22929068085131202	0.22929068085131202	0.5551921537666631	0.24591947993318602
9.0.24.0	-0.38129062837349903	-0.218175731877386	0.218175731877386	0.506388247285504	0.23490238108799802
9.0.36.0	-0.33214140182338203	-0.21820104961260603	0.21820104961260603	0.44639417620984506	0.245747225613539
9.0.48.0	-0.291362043417482	-0.254176525791839	0.254176525791839	0.418965712846102	0.232396330571383
9.0.6.0	-0.24945273363658801	-0.25328335984230305	0.25328335984230305	0.383792219316448	0.22566051432014203
9.0.719999999999999.0	-0.221483825490587	-0.27703298613419003	0.27703298613419003	0.350146776740821	0.23133704874976702
9.0.84.0	-0.194353427032973	-0.302401434638885	0.302401434638885	0.34768039881656404	0.20667302821641
9.0.959999999999999.0	-0.17611416437999303	-0.292844248916379	0.292844248916379	0.300564622757575	0.235549541622418
10.0.08.0	-0.166481526799544	-0.36433948252292103	0.36433948252292103	0.356462809718456	0.170018717081088
10.0.2.0	-0.265946472226311	-0.6062873519102201	0.6062873519102201	0.550860952337307	0.07508551988900401
10.0.32.0	-0.41842370963740505	-0.7748238554810001	0.7748238554809991	0.7034143860247021	0.075009323612704
10.0.44.0	-0.5632478627664891	-0.8611368111876321	0.8611368111876321	0.838870497293785	0.08437736547270401
10.0.559999999999999.0	-0.690687573226279	-0.8900262523615661	0.8900262523615661	0.9388497522011171	0.11183782102516301
10.0.68.0	-0.610624470630041	-0.164568073269265	0.164568073269265	0.761832864196736	0.20879160643330502
10.0.799999999999999.0	-0.6096301686864011	-0.253585393386466	0.253585393386466	0.664146634743846	0.305483533942555
10.0.92.0	-0.5385486320397791	-0.23970252055872202	0.23970252055872202	0.6799753554266551	0.218573276613123
11.0.04.0	-0.47136502970456806	-0.18134575079738302	0.18134575079738302	0.5861514849292431	0.24521354477532703
11.0.16.0	-0.420943124846954	-0.20521032323836902	0.20521032323836902	0.521811228705663	0.259131896141292
11.0.28.0	-0.36859169209235404	-0.23460936185362002	0.23460936185362002	0.492970364446263	0.23562132764609303
11.0.4.0	-0.31685398422813404	-0.22486842141599503	0.22486842141599503	0.44081006276683204	0.236043921461303
11.0.52.0	-0.27804941227685204	-0.24828152084107802	0.24828152084107802	0.3994700371725	0.238579375104354
11.0.639999999999999.0	-0.24120772255887402	-0.271616428428958	0.271616428428958	0.38143168461980603	0.21977603793906902
11.0.76.0	-0.209620941444281	-0.266799033638736	0.266799033638736	0.33925117253945203	0.23036976890483002
11.0.879999999999999.0	-0.192589992647965	-0.3267293892174	0.3267293892174	0.347840651805058	0.20474934084290802
12.0.	-0.164353163980119	-0.27594963319959104	0.27594963319959104	0.300441505046041	0.22391165893407902
