time	CDK2cycA	CDK2cycA_star_	Cdk2	CyclinA
0.0.	0.0	0.0	1e-07	4e-07
0.0.12.0	2.113476030826794e-08	1.5700771334923682e-09	7.729516255823971e-08	3.7729516255823965e-07
0.0.24.0	2.1063420898031563e-08	3.469235647231114e-09	7.546734345473732e-08	3.754673434547375e-07
0.0.36.0	2.0654890171070993e-08	5.2130953661289655e-09	7.413201446280004e-08	3.741320144628001e-07
0.0.48.0	2.027756278420614e-08	6.8070261053559765e-09	7.29154111104379e-08	3.729154111104379e-07
0.0.6.0	1.9934104406321452e-08	8.263908831976178e-09	7.180198676170238e-08	3.718019867617025e-07
0.0.72.0	1.962140789478062e-08	9.595673824079227e-09	7.078291828114016e-08	3.707829182811405e-07
0.0.84.0	1.9336602591215582e-08	1.081317445456894e-08	6.985022295421551e-08	3.698502229542158e-07
0.0.96.0	1.907710280965592e-08	1.1926305279437681e-08	6.899659191090641e-08	3.689965919109067e-07
1.0.08.0	1.8840577678364313e-08	1.2944089479015591e-08	6.821533284262015e-08	3.682153328426204e-07
1.0.2.0	1.86249237522699e-08	1.387475791240481e-08	6.750031833532531e-08	3.675003183353255e-07
1.0.3199999999999998.0	1.842824096878707e-08	1.472582063734712e-08	6.684593839386585e-08	3.6684593839386605e-07
1.0.44.0	1.82488113270654e-08	1.550413167086172e-08	6.624705700207293e-08	3.6624705700207307e-07
1.0.56.0	1.808508010234744e-08	1.621594767327473e-08	6.569897222437792e-08	3.656989722243781e-07
1.0.68.0	1.793563913531073e-08	1.6866981167149133e-08	6.519737969754026e-08	3.651973796975403e-07
1.0.7999999999999998.0	1.77992120499502e-08	1.746244883157277e-08	6.473833911847715e-08	3.647383391184773e-07
1.0.92.0	1.767464106409613e-08	1.800711535711291e-08	6.43182435787911e-08	3.6431824357879117e-07
2.0.04.0	1.756087527806087e-08	1.850533329208011e-08	6.393379142985921e-08	3.6393379142985937e-07
2.0.16.0	1.745696019492577e-08	1.8961079267666152e-08	6.358196053740828e-08	3.6358196053740836e-07
2.0.28.0	1.736202838234283e-08	1.937798694714819e-08	6.325998467050918e-08	3.632599846705092e-07
2.0.4.0	1.727529109393445e-08	1.9759377010463202e-08	6.296533189560259e-08	3.629653318956025e-07
2.0.52.0	1.719603077889927e-08	2.010828445237106e-08	6.269568476872987e-08	3.626956847687298e-07
2.0.6399999999999997.0	1.712359434471729e-08	2.0427483445584097e-08	6.244892220969881e-08	3.624489222096987e-07
2.0.76.0	1.7057387116053522e-08	2.071950999422202e-08	6.222310288972467e-08	3.6222310288972447e-07
2.0.88.0	1.699686738883636e-08	2.098668258155568e-08	6.201645002960819e-08	3.620164500296078e-07
3.0.	1.694154153389776e-08	2.123112099540145e-08	6.182733747070106e-08	3.618273374707007e-07
3.0.12.0	1.6890959574091382e-08	2.145476349737118e-08	6.16542769285377e-08	3.616542769285374e-07
3.0.2399999999999998.0	1.6844711198128663e-08	2.1659382485765062e-08	6.149590631610652e-08	3.6149590631610626e-07
3.0.36.0	1.680242215340158e-08	2.1846598788061132e-08	6.13509790585375e-08	3.6135097905853717e-07
3.0.48.0	1.676375098802066e-08	2.2017894705793338e-08	6.121835430618618e-08	3.61218354306186e-07
3.0.5999999999999996.0	1.672838609792545e-08	2.217462592340099e-08	6.109698797867374e-08	3.6109698797867346e-07
3.0.7199999999999998.0	1.6696043054849043e-08	2.231803238202178e-08	6.098592456312936e-08	3.609859245631291e-07
3.0.84.0	1.666646218112136e-08	2.2449248210078313e-08	6.088428960880049e-08	3.608842896088003e-07
3.0.96.0	1.6639406351531873e-08	2.256931079391098e-08	6.07912828545573e-08	3.607912828545572e-07
4.0.08.0	1.6614658995838194e-08	2.267916906425656e-08	6.07061719399054e-08	3.607061719399052e-07
4.0.2.0	1.6592022285709872e-08	2.277969106737538e-08	6.062828664691489e-08	3.6062828664691474e-07
4.0.32.0	1.6571315485442223e-08	2.2871670883518212e-08	6.055701363103973e-08	3.605570136310395e-07
4.0.4399999999999995.0	1.655237345311302e-08	2.29558349497078e-08	6.049179159717932e-08	3.604917915971791e-07
4.0.56.0	1.6535045275897242e-08	2.303284783878291e-08	6.043210688531996e-08	3.604321068853197e-07
4.0.68.0	1.651919302855374e-08	2.310331754196611e-08	6.037748942948023e-08	3.603774894294799e-07
4.0.8.0	1.650469064216288e-08	2.316780029807075e-08	6.032750905976647e-08	3.603275090597663e-07
4.0.92.0	1.6491422874037252e-08	2.3226805008608344e-08	6.028177211735451e-08	3.602817721173542e-07
5.0.04.0	1.647928436848822e-08	2.328079727463049e-08	6.023991835688139e-08	3.602399183568811e-07
5.0.16.0	1.646817880093209e-08	2.333020308796141e-08	6.020161811110657e-08	3.6020161811110616e-07
5.0.279999999999999.0	1.6458018097048522e-08	2.337541220663865e-08	6.016656969631288e-08	3.6016656969631256e-07
5.0.3999999999999995.0	1.644872172075754e-08	2.341678124175289e-08	6.013449703748962e-08	3.601344970374893e-07
5.0.52.0	1.644021602432249e-08	2.345463648052295e-08	6.01051474951546e-08	3.6010514749515427e-07
5.0.64.0	1.643243365540119e-08	2.3489276468266463e-08	6.007828987633239e-08	3.600782898763321e-07
5.0.76.0	1.642531301561419e-08	2.352097436997068e-08	6.005371261441519e-08	3.600537126144149e-07
5.0.88.0	1.6418797766324162e-08	2.354998013036287e-08	6.003122210331301e-08	3.600312221033127e-07
6.0.	1.641283637719992e-08	2.357652244975233e-08	6.00106411730478e-08	3.600106411730474e-07
6.0.12.0	1.640738171398014e-08	2.360081059141709e-08	5.999180769460283e-08	3.5999180769460235e-07
6.0.24.0	1.6402390661815362e-08	2.3623036034952802e-08	5.997457330323188e-08	3.5997457330323137e-07
6.0.359999999999999.0	1.6397823781200943e-08	2.364337398875426e-08	5.995880223004484e-08	3.5995880223004446e-07
6.0.4799999999999995.0	1.639364499352812e-08	2.366198477367088e-08	5.994437023280101e-08	3.599443702328007e-07
6.0.6.0	1.6389821293762e-08	2.367901508883839e-08	5.993116361739961e-08	3.599311636173993e-07
6.0.72.0	1.638632248779884e-08	2.369459916974738e-08	5.991907834245373e-08	3.599190783424535e-07
6.0.84.0	1.638312095242379e-08	2.3708859847743772e-08	5.990801919983241e-08	3.599080191998321e-07
6.0.96.0	1.6380191415849032e-08	2.372190951936974e-08	5.989789906478119e-08	3.5989789906478086e-07
7.0.08.0	1.637751075709625e-08	2.37338510332322e-08	5.98886382096715e-08	3.5988863820967116e-07
7.0.199999999999999.0	1.6375057822552793e-08	2.3744778501429e-08	5.988016367601816e-08	3.5988016367601776e-07
7.0.319999999999999.0	1.637281325825107e-08	2.375477804196071e-08	5.987240869978813e-08	3.5987240869978787e-07
7.0.4399999999999995.0	1.637075935648685e-08	2.3763928458007348e-08	5.986531218550573e-08	3.598653121855055e-07
7.0.56.0	1.636887991556418e-08	2.3772301859446353e-08	5.985881822498935e-08	3.598588182249892e-07
7.0.68.0	1.636716011151794e-08	2.3779964231529442e-08	5.985287565695252e-08	3.598528756569523e-07
7.0.8.0	1.636558638080073e-08	2.3786975955216212e-08	5.984743766398296e-08	3.598474376639828e-07
7.0.92.0	1.636414631297869e-08	2.379339228327856e-08	5.984246140374263e-08	3.598424614037424e-07
8.0.04.0	1.636282855258942e-08	2.3799263775939127e-08	5.983790767147133e-08	3.598379076714712e-07
8.0.16.0	1.636162362210857e-08	2.3804632633012923e-08	5.983374374487836e-08	3.5983374374487817e-07
8.0.28.0	1.636052478053113e-08	2.380952886520073e-08	5.982994635426797e-08	3.5982994635426785e-07
8.0.4.0	1.635951886476347e-08	2.3814011103451473e-08	5.98264700317849e-08	3.598264700317847e-07
8.0.52.0	1.63585980150159e-08	2.3818114353690054e-08	5.982328763129392e-08	3.598232876312938e-07
8.0.64.0	1.635775503641935e-08	2.3821870661660172e-08	5.982037430192039e-08	3.5982037430192016e-07
8.0.76.0	1.6356983342826262e-08	2.382530936326937e-08	5.981770729390427e-08	3.598177072939042e-07
8.0.879999999999999.0	1.635627690530172e-08	2.382845731376869e-08	5.981526578092952e-08	3.5981526578092936e-07
9.0.	1.635563020493825e-08	2.3831339097537732e-08	5.981303069752399e-08	3.5981303069752377e-07
9.0.12.0	1.635503818970083e-08	2.383397722013119e-08	5.981098459016794e-08	3.598109845901677e-07
9.0.24.0	1.635449623490151e-08	2.383639228407567e-08	5.980911148102277e-08	3.598091114810225e-07
9.0.36.0	1.635400010704471e-08	2.383860314980192e-08	5.980739674315331e-08	3.5980739674315295e-07
9.0.48.0	1.6353545930715772e-08	2.384062708296165e-08	5.980582698632253e-08	3.5980582698632216e-07
9.0.6.0	1.635313015828939e-08	2.3842479889288112e-08	5.980438995242246e-08	3.598043899524221e-07
9.0.719999999999999.0	1.635274954218965e-08	2.3844176038048133e-08	5.980307441976216e-08	3.598030744197617e-07
9.0.84.0	1.635240110950978e-08	2.38457287750559e-08	5.980187011543427e-08	3.598018701154338e-07
9.0.959999999999999.0	1.635208213877093e-08	2.384715022612712e-08	5.98007676351019e-08	3.598007676351014e-07
10.0.08.0	1.6351790138656232e-08	2.384845149178579e-08	5.979975836955792e-08	3.597997583695572e-07
10.0.2.0	1.635152282853801e-08	2.3849642733960594e-08	5.979883443750134e-08	3.597988344375007e-07
10.0.32.0	1.635127812065851e-08	2.3850733255350808e-08	5.979798862399062e-08	3.5979798862399e-07
10.0.44.0	1.6351054103813972e-08	2.385173157207981e-08	5.979721432410618e-08	3.5979721432410555e-07
10.0.559999999999999.0	1.635084902842305e-08	2.38526454802055e-08	5.97965054913714e-08	3.597965054913708e-07
10.0.68.0	1.6350661292855523e-08	2.385348211660581e-08	5.979585659053863e-08	3.59795856590538e-07
10.0.799999999999999.0	1.635048943092024e-08	2.38542480147162e-08	5.979526255436353e-08	3.597952625543628e-07
10.0.92.0	1.635033210040945e-08	2.3854949155553602e-08	5.979471874403693e-08	3.597947187440363e-07
11.0.04.0	1.6350188072614008e-08	2.385559101442603e-08	5.979422091295996e-08	3.597942209129593e-07
11.0.16.0	1.635005622272408e-08	2.385617860369236e-08	5.979376517358355e-08	3.59793765173583e-07
11.0.28.0	1.634993552104305e-08	2.385671651190658e-08	5.979334796705041e-08	3.5979334796704967e-07
11.0.4.0	1.634982502494356e-08	2.385720893965188e-08	5.979296603540454e-08	3.597929660354038e-07
11.0.52.0	1.6349723871504902e-08	2.385765973234504e-08	5.979261639615008e-08	3.597926163961492e-07
11.0.639999999999999.0	1.6349631270772212e-08	2.3858072410266642e-08	5.979229631896117e-08	3.597922963189603e-07
11.0.76.0	1.6349546499586582e-08	2.3858450196052422e-08	5.979200330436102e-08	3.597920033043601e-07
11.0.879999999999999.0	1.634946889593642e-08	2.385879603985981e-08	5.979173506420378e-08	3.597917350642029e-07
12.0.	1.634939784364962e-08	2.3859112687583698e-08	5.979148946876665e-08	3.597914894687658e-07
