time	E	E_M	E_P2	E_P_1	E_P_2	M	P	P2	T
0.0.	0.00015000000000000001	0.0	3.009265538105056e-36	0.0	0.0	0.0	1.0	4.03896783473158e-28	0.0
9.0.	7.991278096196368e-05	2.4926535733082403e-06	1.8895427130820674e-08	6.03181755735594e-05	7.257494464037483e-06	0.043275497760433004	0.9520946127553791	0.002148671005951	0.002411131259197
18.0.	8.05058782305419e-05	4.659187213095967e-06	3.7290925486727484e-08	5.7838510821957966e-05	6.959132808913634e-06	0.080272058452949	0.906229321193545	0.0042037646712750005	0.009225361560461
27.0.	8.121280129239994e-05	6.539239167576468e-06	5.5219071181471885e-08	5.5513374289435276e-05	6.679366179400293e-06	0.11167258463054801	0.8622279183203071	0.006167939406075001	0.019862770444361
36.0.	8.202390159427488e-05	8.167322707597039e-06	7.277081496252975e-08	5.3320490734570355e-05	6.41551414858261e-06	0.138090634816168	0.8199793611408601	0.008046359347435	0.033815668597130005
45.0.	8.293111633987126e-05	9.571973676793872e-06	9.001968103172382e-08	5.124152054927356e-05	6.1653697530157296e-06	0.16006545736490202	0.7793883114312851	0.009843449585416001	0.050635712734735
54.0.	8.392756778985735e-05	1.0777063682044542e-05	1.070250033270216e-07	4.9261242263255445e-05	5.927101261496692e-06	0.17807458047202002	0.7403724136247021	0.011563024858247001	0.06992390861282001
63.0.	8.500725675311047e-05	1.1802788338931042e-05	1.238343118326166e-07	4.7366941896523775e-05	5.699178699577151e-06	0.192543721528387	0.7028601222792821	0.013208392410245	0.09132277103883801
72.0.	8.616482371626288e-05	1.2666422348584813e-05	1.4048511193320008e-07	4.554795061625991e-05	5.48031820693227e-06	0.20385466673461403	0.6667889429724551	0.014782435425152	0.11451011969149401
81.0.	8.739535953300673e-05	1.3382904311754912e-05	1.570062240049745e-07	4.3795290523109086e-05	5.269439408094044e-06	0.212351592767674	0.6321039879782631	0.016287681679817	0.139194132933778
90.0.	8.869425328062388e-05	1.3965295230897491e-05	1.7341880258424147e-07	4.210140029188204e-05	5.06563239398103e-06	0.21834617726820302	0.5987567743922281	0.017726360822952	0.165109381769897
99.0.	9.005706873850425e-05	1.4425141840662362e-05	1.897371222932714e-07	4.045992042101187e-05	4.868131877492049e-06	0.22212175697515002	0.566704210998571	0.019100452804687	0.19201363629033
108.0.	9.147944360646373e-05	1.4772767114305162e-05	2.059691957823202e-07	3.886552333605058e-05	4.676296747358259e-06	0.223936729476357	0.5359077336272801	0.020411729347385003	0.21968528699258302
117.0.	9.295700745446541e-05	1.5017504159579033e-05	2.221172737661626e-07	3.731377740841067e-05	4.489593703737856e-06	0.22402734902307	0.506332558633125	0.021661789880726003	0.247921259470532
126.0.	9.448531572808e-05	1.5167885377820112e-05	2.3817826649228122e-07	3.5801036644307765e-05	4.307583983255772e-06	0.22261003350556002	0.47794703151550105	0.022852093014158	0.276535327280507
135.0.	9.605979808211615e-05	1.5231795654230361e-05	2.5414411814672843e-07	3.4324349731646114e-05	4.129912413815571e-06	0.219883274994596	0.450722053308015	0.023983984353423003	0.305356747142046
144.0.	9.767571997863603e-05	1.5216596106884223e-05	2.700021597466685e-07	3.2881383545164486e-05	3.956298209520535e-06	0.216029227791408	0.42463057169095203	0.025058721262186	0.33422915497543204
153.0.	9.932815692906804e-05	1.5129223300566902e-05	2.857354612664407e-07	3.147035726594297e-05	3.786527043105805e-06	0.21121503398921002	0.399647127154722	0.026077495008781003	0.363009672004213
162.0.	0.000101011981024	1.4976267661849011e-05	3.0132319959600246e-07	3.008998408267854e-05	3.620444030921983e-06	0.20559393591069403	0.37574744719860004	0.027041450611296	0.39156817826043405
171.0.	0.00010272185951600001	1.4764033998471452e-05	3.167410550929202e-07	2.8739418087208765e-05	3.457947343140015e-06	0.199306216559673	0.352908083644135	0.027951704594166002	0.419786717061542
180.0.	0.00010445226518100001	1.4498586447148712e-05	3.319616457402403e-07	2.7418204509638432e-05	3.2989822159718768e-06	0.19248000275583402	0.331106089783375	0.028809360791338	0.447558998934633
189.0.	0.00010619749811200001	1.4185779789319161e-05	3.469550041419383e-07	2.6126231896005853e-05	3.143535197763513e-06	0.18523196041937	0.31031873534013305	0.029615524271637002	0.47478997746697105
198.0.	0.00010795171831600001	1.3831278837815712e-05	3.616890987446609e-07	2.4863685237458093e-05	2.991628509673805e-06	0.177667907169299	0.290523258146593	0.030371313419035	0.501395472983387
207.0.	0.00010970898825700001	1.3440567471233911e-05	3.761303968144416e-07	2.3630999427988352e-05	2.843314445943671e-06	0.16988336371984802	0.271696652061639	0.031077870172619003	0.5273018230341501
216.0.	0.00011146332414900001	1.3018948844480972e-05	3.902444629344104e-07	2.2428812763625404e-05	2.698669779169612e-06	0.161964062300643	0.25381549100826	0.031736368416872	0.552445541598373
225.0.	0.00011320875444	1.257153830458202e-05	4.039965832866711e-07	2.1257920498989223e-05	2.5577901724588786e-06	0.153986427345563	0.23685578911010802	0.032348020511316	0.576772971787453
234.0.	0.00011493938365800001	1.210325056398234e-05	4.1735240293470853e-07	2.011922874252314e-05	2.420784632279792e-06	0.146018040898989	0.220792896788941	0.032914081958211	0.600239919737516
243.0.	0.00011664945947800001	1.1618782705807481e-05	4.3027856093368074e-07	1.9013709191996933e-05	2.287770062330669e-06	0.138118102526349	0.20560143237726902	0.033435854226223	0.6228112603296371
252.0.	0.00011833344071800001	1.1122594596795241e-05	4.4274330654867605e-07	1.7942355378919223e-05	2.1588659988561736e-06	0.130337890973132	0.191255248342241	0.033914685774713	0.6444605083506311
261.0.	0.00011998606385400001	1.0618888248257921e-05	4.5471707929378054e-07	1.6906141197152563e-05	2.034189620680303e-06	0.12272123240587701	0.177727430651963	0.034351971355330004	0.665169351650682
270.0.	0.00012160240571500001	1.0111587583194762e-05	4.66173035989583e-07	1.590598253289214e-05	1.913851132271217e-06	0.11530497782316501	0.164990329192779	0.034749149702162	0.684927145687608
279.0.	0.00012317794015100002	9.604319934232095e-06	4.770875095645878e-07	1.4942702789637861e-05	1.797949615330453e-06	0.10811949018944601	0.15301561651647502	0.035107699756243005	0.703730371477985
288.0.	0.000124708586747	9.100400414207067e-06	4.874403867994355e-07	1.4017003016776322e-05	1.686569434178289e-06	0.101189140068264	0.1417743716094	0.035429135602085	0.7215820613069981
297.0.	0.000126190750052	8.602820076426925e-06	4.972153954572629e-07	1.3129437212386642e-05	1.579777263609615e-06	0.094532807058502	0.13123718487584302	0.035715000320685	0.7384911984950201
306.0.	0.000127621348199	8.114238527006817e-06	5.064002950163337e-07	1.2280393192270602e-05	1.477619786409215e-06	0.08816438320108401	0.12137428015230801	0.035966858983392004	0.7544720990114131
315.0.	0.000128997830351	7.636981382419556e-06	5.149869692442827e-07	1.1470079213174801e-05	1.380122083169528e-06	0.08209327374195201	0.11215564934319701	0.036186291022611006	0.76954378372259
324.0.	0.000130318182842	7.17304269795574e-06	5.229714228348478e-07	1.0698516325193151e-05	1.287286711429539e-06	0.076324890209383	0.103551195205345	0.036374882218144	0.7837293505499691
333.0.	0.000131580924399	6.7240922430945725e-06	5.303536879980324e-07	9.965536222498899e-06	1.199093446386061e-06	0.070861130670532	0.095530877909376	0.036534216531817	0.7970553558126731
342.0.	0.000132785091258	6.291487281538889e-06	5.371376500249659e-07	9.27078417711691e-06	1.115499633234377e-06	0.06570084223726401	0.088064861258713	0.036665868008856004	0.809551213586423
351.0.	0.00013393021328800001	5.8762883371503936e-06	5.433308032769975e-07	8.613726488559268e-06	1.036441082916117e-06	0.06084026134539101	0.08112365483112201	0.036771392943187	0.8212486210935871
360.0.	0.00013501628255100002	5.479278298385373e-06	5.489439506816368e-07	7.993661770171759e-06	9.618334295743267e-07	0.056273427976096003	0.074678248794458	0.036852322477217	0.8321810170347781
369.0.	0.00013604371582	5.100984134979172e-06	5.539908606382414e-07	7.409735324270729e-06	8.915738597361854e-07	0.051992570761845006	0.068700238705294	0.03691015577637	0.84238307847231
378.0.	0.000137013312682	4.741700469547042e-06	5.584878952895438e-07	6.8609558320827305e-06	8.255431201021476e-07	0.047988460760705	0.06316193819275301	0.03694635388655	0.851890260472673
387.0.	0.000137926210808	4.4015142582755e-06	5.624536234985104e-07	6.346213597389863e-06	7.636077123663995e-07	0.044250732537562	0.058036478028257	0.036962334350493	0.8607383812944951
396.0.	0.00013878383987	4.080329881567991e-06	5.65908430716257e-07	5.864299628560077e-06	7.056221889972514e-07	0.040768172011072	0.053297890657027	0.036959466628174	0.868963254543595
405.0.	0.00013958787545700002	3.7778940187684566e-06	5.688741363847768e-07	5.41392491478308e-06	6.514314724625997e-07	0.037528971274777	0.048921179796339004	0.036939068338205004	0.8766003684661351
414.0.	0.000140340194128	3.493819772023095e-06	5.713736277387216e-07	4.993739340810937e-06	6.008731310290965e-07	0.034520951253455	0.044882375172233	0.036902402312367	0.883684611456073
423.0.	0.000141042830539	3.227609604593001e-06	5.734305169927896e-07	4.602349782552152e-06	5.537795560596781e-07	0.031731753596343004	0.041158572860086	0.036850674434687	0.890250041939423
432.0.	0.000141697937387	2.978676761181342e-06	5.750688270442054e-07	4.238337026543174e-06	5.099799978468607e-07	0.029149003631082002	0.037727962010672	0.03678503221986	0.8963297000757731
441.0.	0.00014230774867100002	2.746364936202204e-06	5.76312709076827e-07	3.900271253903652e-06	4.693024287605281e-07	0.026760446508048003	0.034569838982149	0.036706564073439	0.9019554581850361
450.0.	0.000142874546627	2.5299660460192118e-06	5.771861938913095e-07	3.5867259195187467e-06	4.3157521333490317e-07	0.024554058861759	0.031664610064209	0.036616299167765	0.9071579064528941
459.0.	0.00014340063247	2.328736040160552e-06	5.777129774455131e-07	3.296289936937751e-06	3.966285745155496e-07	0.022518138416228	0.028993784080241003	0.03651520786266	0.9119662702733411
468.0.	0.00014388830100600002	2.141908752831414e-06	5.779162399895232e-07	3.0275781471494717e-06	3.642958534306825e-07	0.020641373978601	0.026539956195723004	0.036404202598044	0.9164083555286371
477.0.	0.000144339818982	1.968707849280329e-06	5.778184973204056e-07	2.779240104403401e-06	3.344145666711014e-07	0.018912898215554003	0.024286784255783	0.036284139186257	0.9205105181613871
486.0.	0.00014475740703	1.8083569621554569e-06	5.774414820499441e-07	2.5499672548474617e-06	3.068272701902481e-07	0.017322325504691	0.022218958931732	0.036155818434531	0.924297654536076
495.0.	0.000145143224948	1.660088141946936e-06	5.768060523511933e-07	2.3384986148301393e-06	2.813822426763468e-07	0.015859777012749002	0.020322168884730003	0.036019988032147	0.927793209295322
504.0.	0.00014549936002900002	1.5231487643482721e-06	5.759321253988042e-07	2.14362507654049e-06	2.5793400375548467e-07	0.014515894986333001	0.018583062063046	0.035877344641989	0.931019197668662
513.0.	0.000145827818155	1.39680704747358e-06	5.748386326134982e-07	1.96419248072984e-06	2.3634368383776157e-07	0.013281848059939	0.016989204144999	0.035728536141974	0.9339962394712431
522.0.	0.00014613051730600002	1.280356334951739e-06	5.735434938327401e-07	1.7991036011256649e-06	2.1647926300503322e-07	0.012149329199055	0.015529035028843001	0.035574163967972	0.936743602321437
531.0.	0.00014640928321300002	1.173118298534247e-06	5.720636076297003e-07	1.647319184326557e-06	1.982156962405667e-07	0.011110547710150001	0.014191824158555001	0.035414785515928006	0.9392792518985811
540.0.	0.00014666584681100002	1.0744452074023328e-06	5.704148551660025e-07	1.507858183846639e-06	1.81434941685338e-07	0.010158216569624	0.012967625364584002	0.035250916566936005	0.941619907345668
549.0.	0.000146901843256	9.83721402066893e-07	5.686121151690618e-07	1.379797318788241e-06	1.660259076207092e-07	0.009285536154169001	0.01184723179394	0.035083033704643	0.9437811001905061
558.0.	0.000147118812202	9.003640996487639e-07	5.666692878545681e-07	1.262270077406672e-06	1.51884332648416e-07	0.0084861752978	0.010822131406576	0.03491157669967	0.9457772354081571
567.0.	0.00014731819914200002	8.238236452409665e-07	5.645993258546058e-07	1.1544652744477619e-06	1.389126121693466e-07	0.007754250457695001	0.009884463425994	0.034736950840518005	0.9476216534749351
576.0.	0.00014750135757500001	7.535833116403771e-07	5.624142704513799e-07	1.055625259266971e-06	1.2701958283425588e-07	0.007084303642358	0.009026976052047001	0.034559529194718004	0.949326692468453
585.0.	0.00014766955183500002	6.891587374851172e-07	5.601252916477018e-07	9.65043859897518e-07	1.161202752148404e-07	0.00647127964157	0.008242985673222	0.034379654787805004	0.950903749449239
594.0.	0.000147823960406	6.300970820975013e-07	5.57742730822699e-07	8.820641368032381e-07	1.061356435681231e-07	0.005910502997600001	0.007526337754031001	0.034197642690959006	0.9523633405178161
603.0.	0.00014796567960100002	5.759759643485151e-07	5.552761449213261e-07	8.060760092923031e-07	9.699228027246036e-08	0.005397655070387	0.006871369520102001	0.034013782011023	0.9537151590780901
612.0.	0.000148095727476	5.264022427735567e-07	5.527343513072254e-07	7.365138076473017e-07	8.862212131976752e-08	0.004928751474892	0.006272874518598001	0.033828337778954005	0.954968131955033
621.0.	0.00014821504789900002	4.810106850538984e-07	5.501254725696725e-07	6.728537950368517e-07	8.096214816676769e-08	0.004500120105448	0.005726069093938	0.033641552734825005	0.956130473113688
630.0.	0.000148324514666	4.39462566853311e-07	5.474569807168941e-07	6.146116952480948e-07	7.395409028231679e-08	0.004108379908495	0.005226560787765001	0.033453649009074	0.957209734809333
639.0.	0.000148424935639	4.0144423284440283e-07	5.447357403108574e-07	5.613402552093376e-07	6.754413187709957e-08	0.0037504205205410005	0.004770318646935	0.033264829701069004	0.958212856067095
648.0.	0.000148517056812	3.666656465275384e-07	5.419680502039025e-07	5.12626865119533e-07	6.168262556163127e-08	0.0034233828513180005	0.0043536454032580005	0.033075280357084	0.9591462084451531
657.0.	0.000148601566297	3.348589500721456e-07	5.391596836267738e-07	4.680912537078346e-07	5.6323815041507016e-08	0.0031246406619590003	0.003973151473112	0.032885170350628004	0.9600156390806001
666.0.	0.00014867909818200002	3.057770508216391e-07	5.363159264523827e-07	4.2738327164197576e-07	5.142556841679171e-08	0.002851783163684	0.0036257307132530003	0.032694654168629	0.9608265110526181
675.0.	0.000148750236243	2.7919224722035043e-07	5.334416135215168e-07	3.901807723124838e-07	4.694912319614889e-08	0.0026025986429890004	0.0033085378605470003	0.032503872607485	0.961583741125224
684.0.	0.000148815517493	2.5489490366510237e-07	5.305411629673915e-07	3.561875960632454e-07	4.2858843756458265e-08	0.0023750591040650002	0.0030189675774580003	0.032312953883233	0.9622918349527381
693.0.	0.000148875435557	2.3269218107910552e-07	5.276186085167841e-07	3.2513166134152775e-07	3.9121991666094876e-08	0.002167305907353	0.0027546350214510003	0.032122014660313	0.9629549198464401
702.0.	0.000148930443869	2.1240682778013567e-07	5.246776297780287e-07	2.9676316413025213e-07	3.570850903608382e-08	0.001977636374252	0.0025133578546300004	0.031931161003453	0.9635767752115361
711.0.	0.000148980958685	1.9387603340230658e-07	5.217215805515103e-07	2.708528853349445e-07	3.259081485991611e-08	0.0018044913214720001	0.0022931396095490003	0.031740489257237	0.9641608607704291
720.0.	0.000149027361918	1.769503471713528e-07	5.187535152176639e-07	2.471906044662909e-07	2.974361414256869e-08	0.001646443484025	0.0020921543279320003	0.031550086857861	0.9647103426921021
729.0.	0.00014907000378900002	1.614926606735819e-07	5.157762132718518e-07	2.2558361693161258e-07	2.7143719495599462e-08	0.0015021867828410001	0.0019087323907490002	0.031360033081456004	0.9652281177487451
738.0.	0.00014910920530700002	1.473772543512286e-07	5.127922020857211e-07	2.058553514761119e-07	2.47698847822178e-08	0.001370526391413	0.001741347460479	0.031170399733251003	0.9657168356201661
747.0.	0.00014914526058100002	1.344889062603672e-07	5.098037779814404e-07	1.878440837545515e-07	2.260265032880718e-08	0.0012503695551380001	0.0015886044593380001	0.030981251781678	0.966178919464429
756.0.	0.000149178438972	1.2272206110591699e-07	5.068130257093368e-07	1.71401741628926e-07	2.0624199173021882e-08	0.0011407171172600002	0.001449228510501	0.030792647941318002	0.9666165848698951
765.0.	0.000149208987084	1.119800571906094e-07	5.038218364212858e-07	1.5639279754549742e-07	1.881822378942467e-08	0.001040655706008	0.0013220547728880002	0.03060464120843	0.96703185729976
774.0.	0.000149237130621	1.021744086546924e-07	5.008319242323796e-07	1.426932432178667e-07	1.716980271837431e-08	0.0009493505388070001	0.001206019103749	0.030417279352568	0.9674265881354971
783.0.	0.00014926307608900002	9.322414021813442e-08	4.978448414621807e-07	1.3018964180818558e-07	1.5665286519702352e-08	0.000866038800978	0.001100149486995	0.030230605367612004	0.9678024694205061
792.0.	0.00014928701239	8.505517154826901e-08	4.948619926446131e-07	1.18778252836529e-07	1.429219247727223e-08	0.0007900235581430001	0.0010035581689560001	0.030044657885331002	0.9681610473999621
801.0.	0.000149309112271	7.759974834729656e-08	4.9188464739256e-07	1.0836422514239119e-07	1.3039107491809361e-08	0.000720668163557	0.00091543444692	0.029859471554388003	0.968503734947408
810.0.	0.000149329533678	7.079591727262274e-08	4.889139521996781e-07	9.886085335854321e-08	1.189559861578275e-08	0.000657391123581	0.0008350380593830001	0.029675077387518	0.968831822963197
819.0.	0.00014934842099200002	6.458704185771342e-08	4.859509412580232e-07	9.018889352483052e-08	1.085213070424828e-08	0.00059966138669	0.0007616931303890001	0.029491503079416004	0.9691464908244991
828.0.	0.000149365906172	5.8921356682975036e-08	4.829965463659344e-07	8.227593365864672e-08	9.89999067831971e-09	0.000546994023437	0.0006947826236920001	0.029308773297675002	0.9694488159613701
837.0.	0.000149382109803	5.375155714775408e-08	4.800516059963731e-07	7.505581530228472e-08	9.031217922412512e-09	0.000498946266924	0.0006337432656190001	0.029126909948994	0.9697397826282671
846.0.	0.00014939714206100001	4.903442230992701e-08	4.771168735916156e-07	6.846810227913437e-08	8.238540361882804e-09	0.00045511388532900004	0.000578060898522	0.028945932422654003	0.9700202899355571
855.0.	0.00014941110359700002	4.473046838389655e-08	4.74193025145974e-07	6.245759310593534e-08	7.515315793580686e-09	0.00041512786000200006	0.000527266229562	0.028765857813137	0.970291159200897
864.0.	0.00014942408635100002	4.0803630617291785e-08	4.7128066613405816e-07	5.697387372326623e-08	6.855478067701198e-09	0.000378651344501	0.00048093094223100006	0.028586701123644004	0.9705531406759751
873.0.	0.000149436174295	3.722097139825478e-08	4.683803378380867e-07	5.197090741821725e-08	6.253487744795774e-09	0.00034537688176	0.00043866414054300005	0.028408475452067	0.970806919699926
882.0.	0.000149447444118	3.395241257652488e-08	4.6549252312390675e-07	4.7406659019566934e-08	5.704286876637313e-09	0.00031502385822300004	0.00040010909814400003	0.028231192160924002	0.971053122326828
891.0.	0.000149457965849	3.097049011078979e-08	4.6261765171170715e-07	4.3242750645115094e-08	5.2032575836155925e-09	0.000287336175436	0.000364940286813	0.02805486103258	0.9712923204710211
900.0.	0.000149467803435	2.8250129281008762e-08	4.597561049839223e-07	3.944414647253012e-08	4.7461841244058985e-09	0.000262080121018	0.000332860660852	0.027879490411021002	0.9715250366105441
